Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,The Log,Skeletons,Graveyard,Ice Wizard,Baby Dragon,Barbarian Barrel,Tombstone,Knight,Tornado,Poison
Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,The Log,Skeletons,Wall Breakers,Valkyrie,Electro Wizard,Bats,Inferno Tower,The Log,Poison,Miner
Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Golem,Tornado,Night Witch,Baby Dragon,Executioner,Barbarian Barrel,Lightning,Goblin Cage
Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Elixir Golem,Zap,Tornado,Night Witch,Executioner,Goblin Cage,Mega Knight,Rocket
Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Giant Snowball,Musketeer,Giant,Barbarian Barrel,Poison,Dark Prince,Night Witch,Graveyard
Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Mega Knight,Royal Giant,Executioner,Tornado,Lightning,Ice Spirit,Skeletons,The Log
Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Giant,Zap,Archers,Mega Minion,Fireball,Graveyard,Tombstone,Skeleton Army
Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Mini P.E.K.K.A,Princess,Ice Golem,Dart Goblin,Goblin Gang,Ram Rider,Freeze,The Log
Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Valkyrie,Magic Archer,Bomb Tower,Miner,Wall Breakers,Bats,Zap,Skeletons
Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Zap,Goblin Gang,Miner,Bats,Dart Goblin,Wall Breakers,Executioner,Mega Knight
Wall Breakers,Prince,Valkyrie,Goblin Barrel,Princess,Giant Snowball,Dart Goblin,Goblin Gang,Zap,P.E.K.K.A,Executioner,Ice Spirit,Skeletons,Royal Giant,Tornado,Lightning
Giant Snowball,Barbarian Barrel,Bandit,Inferno Dragon,Ram Rider,Magic Archer,Ice Golem,Lumberjack,Magic Archer,Executioner,Skeletons,Night Witch,Elixir Golem,Rocket,The Log,Tornado
Giant Snowball,Barbarian Barrel,Bandit,Inferno Dragon,Ram Rider,Magic Archer,Ice Golem,Lumberjack,Skeletons,Wall Breakers,Miner,Valkyrie,Bats,Bomb Tower,The Log,Magic Archer
Giant Snowball,Barbarian Barrel,Bandit,Inferno Dragon,Ram Rider,Magic Archer,Ice Golem,Lumberjack,Skeletons,Executioner,Elixir Golem,Night Witch,The Log,Magic Archer,Rocket,Tornado
Giant Snowball,Barbarian Barrel,Bandit,Inferno Dragon,Ram Rider,Magic Archer,Ice Golem,Lumberjack,Elixir Golem,The Log,Skeletons,Executioner,Magic Archer,Rocket,Tornado,Night Witch
Giant Snowball,Barbarian Barrel,Bandit,Inferno Dragon,Ram Rider,Magic Archer,Ice Golem,Lumberjack,Zap,Minions,Barbarian Barrel,Musketeer,Wall Breakers,Magic Archer,Miner,Mega Knight
